time	x	y	time	x	y
0	0	0	129.68822	1.600845439	18.2647169
0.709997	-0.549562595	-0.06959379	130.398217	1.051282844	18.19512311
1.429176	-1.063272058	-0.13448661	131.117396	0.537573381	18.13023029
2.038424	-1.596481952	-0.2237533	131.726644	0.004363487	18.0409636
2.647039	-2.136106818	-0.36324469	132.335259	-0.535261379	17.90147221
3.256359	-2.656873779	-0.58080329	132.944579	-1.05602834	17.68391361
3.868947	-3.154762582	-0.87456535	133.557167	-1.553917143	17.39015155
4.376534	-3.54790481	-1.21868313	134.064754	-1.947059371	17.04603377
4.885994	-3.880800131	-1.61902377	134.574214	-2.279954692	16.64569313
5.394453	-4.173525006	-2.07831262	135.082673	-2.572679567	16.18640428
5.902789	-4.394441338	-2.55873614	135.591009	-2.793595899	15.70598076
6.413578	-4.55995548	-3.07285824	136.101798	-2.959110041	15.19185866
6.925672	-4.67771191	-3.60930195	136.613892	-3.076866471	14.65541495
7.434695	-4.755882227	-4.19749619	137.122915	-3.155036788	14.06722071
7.94381	-4.795997304	-4.78674829	137.63203	-3.195151865	13.47796861
8.451346	-4.803890401	-5.38696226	138.139566	-3.203044962	12.87775464
8.861105	-4.792394419	-5.89353133	138.549325	-3.19154898	12.37118557
9.372888	-4.768900066	-6.50924644	139.061108	-3.168054627	11.75547046
9.781172	-4.745738575	-7.04501097	139.469392	-3.144893136	11.21970593
10.188277	-4.73017036	-7.55186928	139.876497	-3.129324921	10.71284762
10.700526	-4.709470453	-8.18064043	140.388746	-3.108625014	10.08407647
11.207277	-4.689322305	-8.78947528	140.895497	-3.088476866	9.47524162
11.716442	-4.683915265	-9.403942901	141.404662	-3.083069826	8.860773999
12.123889	-4.703126476	-9.943326082	141.812109	-3.102281037	8.321390818
12.532995	-4.750503387	-10.44547812	142.221215	-3.149657948	7.819238784
13.043026	-4.843261998	-11.03989937	142.731246	-3.242416559	7.224817529
13.453207	-4.940060827	-11.54420914	143.141427	-3.339215388	6.720507761
13.961052	-5.070085003	-12.12275383	143.649272	-3.469239564	6.14196307
14.369213	-5.197222223	-12.63179762	144.057433	-3.596376784	5.632919277
14.778138	-5.324653475	-13.11606266	144.466358	-3.723808036	5.148654244
15.186927	-5.455727603	-13.6198403	144.875147	-3.854882164	4.644876605
15.598553	-5.589533502	-14.15096895	145.286773	-3.988688063	4.113747951
16.004632	-5.706888193	-14.6417719	145.692852	-4.106042754	3.622945003
16.417574	-5.825916828	-15.15612406	146.105794	-4.225071389	3.10859284
16.82331	-5.941023174	-15.66851837	146.51153	-4.340177735	2.59619853
17.334207	-6.065227841	-16.26333465	147.022427	-4.464382402	2.001382248
17.743846	-6.162684943	-16.8079382	147.432066	-4.561839504	1.456778698
18.151271	-6.244509072	-17.35027693	147.839491	-4.643663633	0.914439973
18.558767	-6.311541745	-17.8568716	148.246987	-4.710696306	0.407845305
18.964893	-6.364878769	-18.3979654	148.653113	-4.76403333	-0.133248504
19.373992	-6.395189094	-18.92591364	149.062212	-4.794343655	-0.661196738
19.879908	-6.388544556	-19.50110968	149.568128	-4.787699117	-1.236392775
20.386614	-6.356820758	-20.09042014	150.074834	-4.755975319	-1.825703239
20.894604	-6.322104534	-20.60139066	150.582824	-4.721259095	-2.336673759
21.412007	-6.277962244	-21.20081464	151.100227	-4.677116805	-2.936097742
21.918775	-6.239689639	-21.71320347	151.606995	-4.6388442	-3.448486571
22.728749	-6.197591608	-22.28064245	152.416969	-4.596746169	-4.015925545