hab to close cargo						close cargo to loading						loading to middle cargo						middle cargo to loading						loading to far cargo						far cargo to loading				loading to close rocket		
time	x	y				time	x	y				time	x	y				time	x	y				time	x	y				time	x	y		time	x	y
36.669509	-0.006179032	0.540205789				68.565299	1.559803577	15.7597026				99.046809	-5.810384444	-4.173161893				129.68822	1.600845439	18.2647169				158.335704	-4.621254055	-3.441156786				201.261384	1.106058647	20.72310835		230.35284	-3.064960409	-3.135836048
37.286447	-0.012620533	1.133159101				69.47958	1.000436994	15.71506796				99.756576	-5.81045775	-3.661919481				130.398217	1.051282844	18.19512311				158.943598	-4.65343641	-2.86110722				201.86901	0.568109542	20.59916843		231.06264	-3.136290266	-2.576355389
37.808553	-0.013935264	1.652069737				70.197322	0.445359799	15.63752375				100.466761	-5.810743677	-3.088054411				131.117396	0.537573381	18.13023029				159.451682	-4.688059707	-2.325970783				202.3768	0.081173585	20.44910241		231.672142	-3.181353594	-2.037975144
38.316279	-0.014665441	2.154041773				70.707492	-0.05325022	15.53536791				101.078232	-5.815229346	-2.498291126				131.726644	0.004363487	18.0409636				160.058572	-4.723319915	-1.724971639				202.884527	-0.393939207	20.24512577		232.282022	-3.21815397	-1.448561092
38.932194	-0.019332405	2.749359517				71.215288	-0.564580278	15.38934699				101.585702	-5.819899684	-1.987045349				132.335259	-0.535261379	17.90147221				160.567476	-4.74863882	-1.189054752				203.391344	-0.839923102	19.99199419		232.788258	-3.247757145	-0.936234328
39.445265	-0.037519893	3.252090446				71.725147	-1.085943961	15.19691603				102.093965	-5.82109855	-1.423340811				132.944579	-1.05602834	17.68391361				161.075966	-4.765494915	-0.664100529				204.000155	-1.334230259	19.64032035		233.293901	-3.290305608	-0.332825854
39.951748	-0.072499282	3.753778538				72.239957	-1.559733713	14.97364594				102.60321	-5.81684184	-0.856868064				133.557167	-1.553917143	17.39015155				161.585038	-4.778903718	-0.080339516				204.51035	-1.719681138	19.28422099		233.799717	-3.336409358	0.255152815
40.466712	-0.125860788	4.28016651				72.748625	-1.994996847	14.71179488				103.110827	-5.813508062	-0.29798224				134.064754	-1.947059371	17.04603377				162.091755	-4.790342144	0.485945298				205.117896	-2.073580098	18.8306888		234.308902	-3.391451274	0.871676897
40.976958	-0.206524918	4.836461663				73.357791	-2.446298521	14.36975061				103.620788	-5.810925323	0.261965278				134.574214	-2.279954692	16.64569313				162.599655	-4.783532023	1.076683775				205.623695	-2.331240064	18.39763791		234.816687	-3.448489534	1.475973839
41.488958	-0.304350072	5.382259953				73.969193	-2.82638414	13.97582798				104.128383	-5.79692281	0.824617291				135.082673	-2.572679567	16.18640428				163.106666	-4.743944787	1.652701143				206.230954	-2.550430184	17.87765282		235.32527	-3.505937465	2.082453858
42.002578	-0.421304072	5.95917095				74.579805	-3.106198178	13.55955505				104.636864	-5.757866899	1.39342724				135.591009	-2.793595899	15.70598076				163.617861	-4.674467457	2.228687053				206.839089	-2.66415956	17.32071407		235.833525	-3.556031097	2.669932066
42.518265	-0.565384292	6.560452807				75.293344	-3.346608256	13.05994622				105.145729	-5.687320335	1.946894546				136.101798	-2.959110041	15.19185866				164.125953	-4.576199257	2.774109601				207.450807	-2.700520978	16.72215895		236.34028	-3.595714993	3.245637508
43.028725	-0.718301189	7.163019742				76.005994	-3.500558142	12.51793761				105.655384	-5.573661725	2.528883687				136.613892	-3.076866471	14.65541495				164.632204	-4.441204044	3.302888244				207.958712	-2.688057162	16.13876215		236.863094	-3.608543358	3.781149347
43.541666	-0.879518984	7.748930893				76.616968	-3.579752037	11.99289535				106.163832	-5.422698838	3.088802025				137.122915	-3.155036788	14.06722071				165.138504	-4.278553489	3.809825939				208.46674	-2.653550593	15.55525557		237.372533	-3.579334856	4.306885108
44.051054	-1.043946698	8.348555569				77.124069	-3.629729566	11.49159472				106.680147	-5.226098779	3.654771495				137.63203	-3.195151865	13.47796861				165.649601	-4.090683629	4.34327832				208.977768	-2.596409896	14.95535073		237.880035	-3.514705658	4.806826766
44.460884	-1.183661972	8.868223122				77.638797	-3.679854771	10.9545535				107.186631	-5.022763444	4.161149818				138.139566	-3.203044962	12.87775464				166.181186	-3.883741595	4.890792432				209.485396	-2.532514358	14.38204284		238.390947	-3.434606125	5.366014985
44.974022	-1.334043659	9.46559299				78.156998	-3.731753305	10.37912665				107.701441	-4.794310814	4.694758878				138.549325	-3.19154898	12.37118557				166.687039	-3.671252624	5.423903608				209.991153	-2.464450748	13.766547		238.902175	-3.366462984	5.9549747
45.382434	-1.463454431	9.969559592				78.66864	-3.771055357	9.844942559				108.210331	-4.566777003	5.223004513				139.061108	-3.168054627	11.75547046				167.19359	-3.452838299	5.944482492				210.398966	-2.41053439	13.24951024		239.412775	-3.33603832	6.456023698
45.790166	-1.587644351	10.46453162				79.177803	-3.807718743	9.304012305				108.721295	-4.333486394	5.747478103				139.469392	-3.144893136	11.21970593				167.709905	-3.235190439	6.45739093				210.804486	-2.358966491	12.74417892		239.925825	-3.33887734	6.974371946
46.301358	-1.735656926	11.06949445				79.688751	-3.853121446	8.758128751				109.128735	-4.123733856	6.203459291				139.876497	-3.129324921	10.71284762				168.217265	-3.00505365	7.030737323				211.219271	-2.303460794	12.18478584		240.534682	-3.389580109	7.56476725
46.713661	-1.8512413	11.57902041				80.199785	-3.917089967	8.212251864				109.63681	-3.885557821	6.734727516				140.388746	-3.108625014	10.08407647				168.726013	-2.798872626	7.582179001				211.632375	-2.248916714	11.64109569		241.143442	-3.512835901	8.133219954
47.227126	-1.958870875	12.14621328				80.709704	-4.000095679	7.690014766				110.14697	-3.669727886	7.276960691				140.895497	-3.088476866	9.47524162				169.233392	-2.616576149	8.159401283				212.037997	-2.197870896	11.1291751		241.750699	-3.711548114	8.650403748
47.735236	-2.012459335	12.71307327				81.21718	-4.107687814	7.186253043				110.660598	-3.476470862	7.821634248				141.404662	-3.083069826	8.860773999				169.742851	-2.498531763	8.684134138				212.443737	-2.151662177	10.59751625		242.460815	-3.985325162	9.135179986
48.243557	-1.991977514	13.23995922				81.728543	-4.250796201	6.643896377				111.176992	-3.281928725	8.411700799				141.812109	-3.102281037	8.321390818				170.250809	-2.423044681	9.255132798				212.94974	-2.111201532	9.987770078		243.172927	-4.314506868	9.558902376
48.756824	-1.878448227	13.75003063				82.236873	-4.410902282	6.102013208				111.584929	-3.132198068	8.905298988				142.221215	-3.149657948	7.819238784				170.757759	-2.394123491	9.835217182				213.355695	-2.099297221	9.47808844		243.984261	-4.640518854	9.959172406
49.267631	-1.666640135	14.21121755				82.747868	-4.583208451	5.543777495				112.092399	-2.987967413	9.493794259				142.731246	-3.242416559	7.224817529				171.164763	-2.387039866	10.33658788				213.761526	-2.115499147	8.952092995		245.10978	-4.962163955	10.35817898
49.777312	-1.36315356	14.63961708				83.2582	-4.746914474	5.011048812				112.601872	-2.880475544	10.10538769				143.141427	-3.339215388	6.720507761				171.569637	-2.387729742	10.8706465				214.178225	-2.154258524	8.447568453		246.426559	-5.287863532	10.76832452
50.395049	-0.921656002	15.04262594				83.768593	-4.91462962	4.45917066				113.11065	-2.819323308	10.69938077				143.649272	-3.469239564	6.14196307				171.982654	-2.399370154	11.38208686				214.590879	-2.219317056	7.916504535				
50.906084	-0.4905362	15.31580804				84.279058	-5.068261585	3.952614428				113.517709	-2.79069597	11.20677349				144.057433	-3.596376784	5.632919277				172.390036	-2.41802027	11.92517205				214.997609	-2.308902099	7.359736759				
51.416221	-0.024995733	15.51459869				84.788454	-5.217395905	3.438212563				113.926449	-2.780783605	11.73151017				144.466358	-3.723808036	5.148654244				172.798532	-2.442641623	12.43977809				215.406579	-2.408248819	6.836951931				
52.032462	0.553018154	15.6583437				85.297603	-5.350520106	2.899407774				114.444564	-2.794891595	12.35093854				144.875147	-3.854882164	4.644876605				173.307788	-2.478499493	13.05451192				215.812849	-2.518223991	6.3067826				
52.74615	1.111676439	15.72768768				85.807412	-5.455497098	2.394047298				114.951316	-2.836177484	12.94994527				145.286773	-3.988688063	4.113747951				173.714109	-2.507763499	13.56629024				216.220692	-2.634658325	5.781794069				
53.96702	1.611897538	15.76122961				86.315684	-5.552699694	1.864396928				115.461493	-2.882730732	13.51664094				145.692852	-4.106042754	3.622945003				174.226234	-2.543468278	14.15179789				216.627551	-2.755097741	5.261576345				
63.75383	2.118350773	15.79119161				86.824588	-5.641720186	1.333362518				115.973092	-2.923756186	14.13167982				146.105794	-4.225071389	3.10859284				174.733004	-2.583251283	14.75755864				217.033326	-2.887229349	4.71121608				
						87.332683	-5.720239311	0.792182762				116.482047	-2.946327558	14.6928497				146.51153	-4.340177735	2.59619853				175.24115	-2.624918064	15.32837927				217.439567	-3.009096699	4.191915019				
						87.843102	-5.785796811	0.197498969				116.994294	-2.912252661	15.28514884				147.022427	-4.464382402	2.001382248				175.749455	-2.674851104	15.9381355				217.853249	-3.125723791	3.657060484				
						88.351834	-5.829429641	-0.360714366				117.50148	-2.805315068	15.79331379				147.432066	-4.561839504	1.456778698				176.256625	-2.723465408	16.52901908				218.267062	-3.237732991	3.082065593				
						88.861684	-5.859983343	-0.955466396				118.009311	-2.613629777	16.26168581				147.839491	-4.643663633	0.914439973				176.764773	-2.754345674	17.09148556				218.673983	-3.322434431	2.555567345				
						89.268981	-5.879082166	-1.50201118				118.519542	-2.332182287	16.67749604				148.246987	-4.710696306	0.407845305				177.272898	-2.746084383	17.67748615				219.079522	-3.39405307	2.043244576				
						89.677422	-5.885918167	-2.028315382				119.031361	-1.97976042	17.04899782				148.653113	-4.76403333	-0.133248504				177.780536	-2.669798765	18.21552395				219.492306	-3.459877803	1.500953195				
						90.187072	-5.870711144	-2.626045943				119.645184	-1.514089458	17.41172772				149.062212	-4.794343655	-0.661196738				178.288523	-2.501024023	18.71469088				219.89993	-3.503195466	0.996764452				
						90.795968	-5.85188364	-3.172448125				120.152567	-1.052145193	17.67246461				149.568128	-4.787699117	-1.236392775				178.802819	-2.242308616	19.16642998				220.414322	-3.530695363	0.377114016				
						91.403428	-5.835489491	-3.684318405				120.660356	-0.585296619	17.86931603				150.074834	-4.755975319	-1.825703239				179.309963	-1.914804016	19.55066988				220.921076	-3.51848111	-0.218419408				
						92.421055	-5.821101429	-4.190593268				121.170076	-0.066108877	18.0166207				150.582824	-4.721259095	-2.336673759				179.918071	-1.442458534	19.91858649				221.43375	-3.459572245	-0.775092173				
						94.045354	-5.806413102	-4.6978122				121.778865	0.501978276	18.12752225				151.100227	-4.677116805	-2.936097742				180.525821	-0.919134869	20.20421134				221.941258	-3.372959051	-1.386036207				
												122.492816	1.0531652	18.19090447				151.606995	-4.6388442	-3.448486571				181.032151	-0.432531037	20.39601724				222.44968	-3.277843202	-1.986730086				
												123.507656	1.593910902	18.26016751				152.416969	-4.596746169	-4.015925545				181.641595	0.099796527	20.53544889				222.858722	-3.187249753	-2.513822082				
												124.928858	2.113324528	18.33530969										182.350006	0.609760269	20.62550091				223.368539	-3.082343577	-3.118387763				
																								183.563645	1.124475228	20.71973751				223.878715	-2.9868312	-3.697312368				
																								186.092416	1.661907486	20.81471299										